year_award,laureate,year_born,age_awarded,year_own_firm,age_own_firm,sex,country_born,continent_born
1979,Philip Johnson,1906,73,1967,61,M,USA,America
1980,Luis Barragán,1902,78,1927,25,M,Mexico,America
1981,James Stirling,1926,55,1956,30,M,United Kingdom,Europe
1982,Kevin Roche,1922,60,1967,45,M,Ireland,Europe
1983,I.M. Pei,1917,66,1955,38,M,China,Asia
1984,Richard Meier,1934,50,1963,29,M,USA,America
1985,Hans Hollein,1934,51,1965,31,M,Austria,Europe
1986,Gottfried Böhm,1920,66,1955,35,M,Germany,Europe
1987,Kenzo Tange,1913,74,1946,33,M,Japan,Asia
1988,Gordon Bunshaft,1909,79,,0,M,USA,America
1988,Oscar Niemeyer,1907,81,1940,33,M,Brazil,America
1989,Frank Gehry,1929,60,1962,33,M,Canada,America
1990,Aldo Rossi,1931,59,1960,29,M,Italy,Europe
1991,Robert Venturi,1925,66,1964,39,M,USA,America
1992,Alvaro Siza,1933,59,1954,21,M,Portugal,Europe
1993,Fumihiko Maki,1928,65,1965,37,M,Japan,Asia
1994,Christian de Portzamparc,1944,50,1980,36,M,Morocco,Africa
1995,Tadao Ando,1941,54,1969,28,M,Japan,Asia
1996,Rafael Moneo,1937,59,1965,28,M,Spain,Europe
1997,Sverre Fehn,1924,73,1954,30,M,Norway,Europe
1998,Renzo Piano,1937,61,1980,43,M,Italy,Europe
1999,Norman Foster,1935,64,1967,32,M,United Kingdom,Europe
2000,Rem Koolhaas,1944,56,1975,31,M,Netherlands,Europe
2001,Jacques Herzog,1950,51,1978,28,M,Switzerland,Europe
2001,Pierre de Meuron,1950,51,1978,28,M,Switzerland,Europe
2002,Glenn Murcutt,1936,66,1970,34,M,United Kingdom,Europe
2003,Jørn Utzon,1918,85,1945,27,M,Denmark,Europe
2004,Zaha Hadid,1950,54,1980,30,F,Iraq,Asia
2005,Thom Mayne,1944,61,1972,28,M,USA,America
2006,Paulo Mendes da Rocha,1928,78,1955,27,M,Brazil,America
2007,Richard Rogers,1933,74,1977,44,M,Italy,Europe
2008,Jean Nouvel,1945,63,1970,25,M,France,Europe
2009,Peter Zumthor,1943,66,1979,36,M,Switzerland,Europe
2010,Ryue Nishizawa (SANAA),1966,44,1995,29,M,Japan,Asia
2010,Kazuyo Sejima (SANAA),1956,54,1995,39,F,Japan,Asia
2011,Eduardo Souto de Moura,1952,59,1980,28,M,Portugal,Europe
2012,Wang Shu,1963,49,1997,34,M,China,Asia
2013,Toyo Ito,1941,72,1971,30,M,South Korea,Asia
2014,Shigeru Ban,1957,57,1985,28,M,Japan,Asia
2015,Frei Otto,1925,90,1952,27,M,Germany,Europe
2016,Alejandro Aravena,1967,49,1994,27,M,Chile,America
2017,Rafael Aranda (RCR Arquitectes),1961,56,1987,26,M,Spain,Europe
2017,Carme Pigem (RCR Arquitectes),1962,55,1987,25,F,Spain,Europe
2017,Ramon Vilalta (RCR Arquitectes),1960,57,1987,27,M,Spain,Europe
2018,Balkrishna Doshi,1927,91,1956,29,M,India,Asia
2019,Arata Isozaki,1931,88,1963,32,M,Japan,Asia
2020,Yvonne Farrell (Grafton Architects),1951,69,1978,27,F,Ireland,Europe
2020,Shelley McNamara (Grafton Architects),1952,68,1978,26,F,Ireland,Europe
2021,Anne Lacaton,1955,66,1987,32,F,France,Europe
2021,Jean-Philippe Vassal,1954,67,1987,33,M,Morocco,Africa
2022,Diébédo Francis Kéré,1965,57,2005,40,M,Burkina Faso,Africa
2023,David Alan Chipperfield,1953,70,1985,32,M,United Kingdom,Europe